VolcanoPlot	Counts	Log2					
#Analysis Name	M-1002 Loma Linda analysis						
#Dataset Name	FCortex GCvsFLT SAL						
Statistical test summary							
Group by	Segment						
#Filtered Dataset	false						
Target tag	Target group membership/s	Target name	Log2	Pvalue	Adjusted pvalue	-log10 pvalue	-log10 adjusted pvalue
	"Probe_QC_5percfilter, All Targets"	Ppib	0.179840311	0.454655667	0.47	0.342317391	0.327902142
	"Probe_QC_5percfilter, All Targets"	Strn4	-0.030022457	0.908665062	0.84	0.04159617	0.075720714
	"Probe_QC_5percfilter, All Targets"	Brms1	-0.255983462	0.034414996	0	1.463252271	
	"Probe_QC_5percfilter, All Targets"	Pmpcb	-0.212432052	0.094338388	0.09	1.025311547	1.045757491
	"Probe_QC_5percfilter, All Targets"	Ntf3	0.367268514	0.144835723	0.22	0.839124307	0.657577319
	"Probe_QC_5percfilter, All Targets"	Rpn2	-0.078149775	0.551421115	0.71	0.258516608	0.148741651
	"Probe_QC_5percfilter, All Targets"	Gas2l1	0.178839227	0.470353533	0.42	0.327575589	0.37675071
	"Probe_QC_5percfilter, All Targets"	Spata33	0.152626205	0.228218464	0.15	0.641649223	0.823908741
	"Probe_QC_5percfilter, All Targets"	Glud1	0.392747594	0.340126763	0.36	0.468359194	0.443697499
	"Probe_QC_5percfilter, All Targets"	4930453N24Rik	0.007630043	0.877280316	0.71	0.056861615	0.148741651
	"Probe_QC_5percfilter, All Targets"	Fcho2	-0.217800826	0.262846101	0.1	0.580298461	1
	"Probe_QC_5percfilter, All Targets"	Emp2	0.007620818	0.930537498	0.84	0.031266121	0.075720714
	"Probe_QC_5percfilter, All Targets"	Spag9	-0.014853281	0.868553711	0.85	0.06120332	0.070581074
	"Probe_QC_5percfilter, All Targets"	Zmynd11	-0.005719875	0.991108729	0.89	0.003878699	0.050609993
	"Probe_QC_5percfilter, All Targets"	Nsd2	-0.03326271	0.819411703	0.81	0.086497838	0.091514981
	"Probe_QC_5percfilter, All Targets"	Mrpl22	0.033340001	0.887042991	0.87	0.052055332	0.060480747
	"Probe_QC_5percfilter, All Targets"	Rom1	0.289975086	0.320887935	0.32	0.493646612	0.494850022
	"Probe_QC_5percfilter, All Targets"	Arhgap29	0.030819709	0.829983141	0.7	0.080930729	0.15490196
	"Probe_QC_5percfilter, All Targets"	Ezr	0.247945389	0.524386409	0.42	0.280348573	0.37675071
	"Probe_QC_5percfilter, All Targets"	Marchf3	-0.028634237	0.903001117	0.86	0.044311713	0.065501549
	"Probe_QC_5percfilter, All Targets"	Zfp267	0.024781242	0.848628533	0.76	0.07128237	0.119186408
	"Probe_QC_5percfilter, All Targets"	Mybph	-0.201488285	0.213110171	0.11	0.671395822	0.958607315
	"Probe_QC_5percfilter, All Targets"	Mrgprb2	-0.080950393	0.64470773	0.43	0.190637123	0.366531544
	"Probe_QC_5percfilter, All Targets"	Slc27a2	-0.400459882	0.227286554	0	0.643426256	
	"Probe_QC_5percfilter, All Targets"	Slc41a2	0.108586071	0.619271157	0.52	0.208119147	0.283996656
	"Probe_QC_5percfilter, All Targets"	Rnf145	-0.119018753	0.57825904	0.68	0.237877569	0.167491087
	"Probe_QC_5percfilter, All Targets"	Hopx	-0.086924362	0.32682905	0.38	0.485679349	0.420216403
	"Probe_QC_5percfilter, All Targets"	Olfr360	-0.153618084	0.64708447	0.56	0.189039023	0.251811973
	"Probe_QC_5percfilter, All Targets"	Thpo	0.404530671	0.121546631	0	0.915257074	
	"Probe_QC_5percfilter, All Targets"	Olfr90	0.311776042	0.291923648	0.2	0.534730723	0.698970004
	"Probe_QC_5percfilter, All Targets"	Nlrp9c	-0.196502685	0.543052008	0.45	0.265158576	0.346787486
