task,metric,phase,value
MP,speed,pre_flight,-1.5
MP,speed,inf_early_1_6,-0.2
MP,speed,inf_late_7_12,-0.3
MP,speed,post_flight,-2.3
VOLT,speed,pre_flight,0.1
VOLT,speed,inf_early_1_6,0.3
VOLT,speed,inf_late_7_12,0.9
VOLT,speed,post_flight,0.3
F2B,speed,pre_flight,-0.3
F2B,speed,inf_early_1_6,0.4
F2B,speed,inf_late_7_12,-0.1
F2B,speed,post_flight,-0.2
AM,speed,pre_flight,0.4
AM,speed,inf_early_1_6,1.8
AM,speed,inf_late_7_12,1.2
AM,speed,post_flight,-0.4
LOT,speed,pre_flight,-0.5
LOT,speed,inf_early_1_6,0.0
LOT,speed,inf_late_7_12,0.0
LOT,speed,post_flight,-1.5
ERT,speed,pre_flight,-1.8
ERT,speed,inf_early_1_6,0.9
ERT,speed,inf_late_7_12,-0.9
ERT,speed,post_flight,-2.3
MRT,speed,pre_flight,0.3
MRT,speed,inf_early_1_6,1.0
MRT,speed,inf_late_7_12,0.8
MRT,speed,post_flight,-0.1
DSST,speed,pre_flight,-2.0
DSST,speed,inf_early_1_6,-0.4
DSST,speed,inf_late_7_12,-0.2
DSST,speed,post_flight,-0.9
PVT,speed,pre_flight,-1.2
PVT,speed,inf_early_1_6,0.1
PVT,speed,inf_late_7_12,-0.1
PVT,speed,post_flight,-1.1
BART,speed,pre_flight,-0.6
BART,speed,inf_early_1_6,0.2
BART,speed,inf_late_7_12,-0.6
BART,speed,post_flight,-2.5
ALL,speed,pre_flight,-0.7
ALL,speed,inf_early_1_6,0.4
ALL,speed,inf_late_7_12,-0.1
ALL,speed,post_flight,-1.1
MP,accuracy,pre_flight,-0.9
MP,accuracy,inf_early_1_6,0.9
MP,accuracy,inf_late_7_12,0.9
MP,accuracy,post_flight,0.0
VOLT,accuracy,pre_flight,0.0
VOLT,accuracy,inf_early_1_6,-1.4
VOLT,accuracy,inf_late_7_12,-1.3
VOLT,accuracy,post_flight,-2.3
F2B,accuracy,pre_flight,-0.7
F2B,accuracy,inf_early_1_6,0.3
F2B,accuracy,inf_late_7_12,-0.7
F2B,accuracy,post_flight,-1.2
AM,accuracy,pre_flight,0.9
AM,accuracy,inf_early_1_6,-0.7
AM,accuracy,inf_late_7_12,-2.9
AM,accuracy,post_flight,-3.1
LOT,accuracy,pre_flight,-0.9
LOT,accuracy,inf_early_1_6,0.2
LOT,accuracy,inf_late_7_12,0.7
LOT,accuracy,post_flight,0.4
ERT,accuracy,pre_flight,0.0
ERT,accuracy,inf_early_1_6,-0.9
ERT,accuracy,inf_late_7_12,-0.1
ERT,accuracy,post_flight,-0.2
MRT,accuracy,pre_flight,-0.2
MRT,accuracy,inf_early_1_6,-0.4
MRT,accuracy,inf_late_7_12,0.1
MRT,accuracy,post_flight,-0.8
DSST,accuracy,pre_flight,0.2
DSST,accuracy,inf_early_1_6,0.0
DSST,accuracy,inf_late_7_12,1.1
DSST,accuracy,post_flight,0.8
PVT,accuracy,pre_flight,0.0
PVT,accuracy,inf_early_1_6,-0.3
PVT,accuracy,inf_late_7_12,-0.2
PVT,accuracy,post_flight,-2.6
ALL,accuracy,pre_flight,-0.2
ALL,accuracy,inf_early_1_6,-0.3
ALL,accuracy,inf_late_7_12,-0.4
ALL,accuracy,post_flight,-1.1
BART,accuracy,pre_flight,0.9
BART,accuracy,inf_early_1_6,1.4
BART,accuracy,inf_late_7_12,1.1
BART,accuracy,post_flight,0.7
EFF,accuracy,pre_flight,-0.4
EFF,accuracy,inf_early_1_6,0.0
EFF,accuracy,inf_late_7_12,-0.3
EFF,accuracy,post_flight,-1.1
