,log2FC
5S_rRNA,0.11786644012953529
7SK,-0.05117984707281126
A1BG,0.7088594764032798
A1BG-AS1,-0.11755494998659333
A1CF,0.1428784801696524
A2M,-1.6122874846480262
A2M-AS1,-1.581629934509825
A2ML1,0.1225757096574503
A2ML1-AS1,0.0
A2ML1-AS2,0.04585484917858604
A2MP1,0.01445075430562362
A3GALT2,0.023041810477766295
A4GALT,-1.0555872668004138
A4GNT,0.01546514879852433
AA06,0.013249556734115465
AAAS,0.27429299571492205
AACS,0.5734091332024063
AACSP1,1.2174018588611086
AADAC,-1.0804987907131252
AADACL2,-0.011988364219703646
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADACP1,-0.11147693347159884
AADAT,0.14042000038922842
AAGAB,-1.113733145232211
AAK1,0.06775452201792209
AAMDC,-1.2452442805779658
AAMP,-0.26223285614788505
AANAT,-2.412536680752914
AAR2,0.2228049771776046
AARD,0.9164265925794521
AARS1,0.3860692542606827
AARS1P1,0.0
AARS2,0.4585136536579921
AARSD1,0.6612666355989538
AARSD1P1,0.5622075018253987
AASDH,0.40520169112843707
AASDHPPT,0.36427559058664905
AASDHPPT-AS1,-0.03846829177492163
AASS,0.8306594129516656
AATBC,0.6488486900491144
AATF,0.19231223031006905
AATK,-0.6092641913217456
ABALON,0.05908612145526568
ABAT,1.066302478022732
ABCA1,-0.7091692320604643
ABCA10,0.11831020036727385
ABCA11P,-0.030892064223671856
ABCA12,0.021653067813502125
ABCA13,-0.26256258088804635
ABCA15P,-0.07218776421796792
ABCA17P,0.1731415587498033
ABCA2,-0.6546111212894332
ABCA3,-0.026842193249636104
ABCA3P1,-0.016519301420609395
ABCA4,0.5971829769725693
ABCA5,-0.8508699190207745
ABCA6,0.10010235066560963
ABCA7,-0.8418620537154173
ABCA8,-4.131870294008821
ABCA9,-0.015916629572971255
ABCA9-AS1,-0.005485383005480085
ABCB1,0.09059828557419825
ABCB10,0.3025311157200594
ABCB10P1,0.09717165727694725
ABCB10P3,0.10795537367644936
ABCB10P4,0.07728987159654757
ABCB11,0.1703066250222546
ABCB4,1.318938193732734
ABCB5,0.35981383052381094
ABCB6,-0.3067710845603462
ABCB7,-0.2184559663269554
ABCB8,-0.05866034358004013
ABCB9,0.7739164712244513
ABCC1,-0.18568311065960064
ABCC10,0.6050588399813859
ABCC11,-0.0239574315010056
ABCC12,-0.003784032491732342
ABCC13,0.0012014455348027912
ABCC2,0.1295137374348238
ABCC3,-2.2575795218909054
ABCC4,-0.12046154758554595
ABCC5,0.4369189439481058
ABCC5-AS1,0.002649134946757531
ABCC6,-1.4087600472485233
ABCC6P1,-1.4000890638268622
ABCC6P2,-1.2957511406784292
ABCC8,-0.895609646410044
ABCC9,-1.3306386143628735
ABCD1,-1.0559721042736439
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.0
ABCD1P5,-0.0055237597425392675
ABCD2,-0.5128313382690664
ABCD3,0.4299745296781321
ABCD4,-0.10183198513248826
ABCE1,0.7265335495936469
ABCE1P1,0.006761632240480433
ABCF1,0.36588954200900403
ABCF2,0.05759257825527486
ABCF2-H2BK1,0.0
ABCF2P1,-0.02442590984836697
ABCF2P2,0.0073459929808722445
ABCF3,-0.317553965368508
ABCG1,-1.2159319364274461
ABCG2,-0.045434916522516675
ABCG4,0.06919628656031085
ABCG5,-0.01556991246789774
ABCG8,-0.0022500183719292716
ABHD1,-0.44376886308371044
ABHD10,0.36498508052181045
ABHD11,-1.1075122891898586
ABHD12,-0.34012250391355536
