,log2FC
5S_rRNA,0.19122124397049967
7SK,0.15763352874678127
A1BG,0.6597022995705233
A1BG-AS1,-0.14939089873151867
A1CF,0.18975655174536463
A2M,-1.6929725851766055
A2M-AS1,-1.7568330963213317
A2ML1,0.03717876668108816
A2ML1-AS1,0.0
A2ML1-AS2,0.04782517972147371
A2MP1,0.03897845007867651
A3GALT2,0.04874305361827403
A4GALT,-1.0476586699680557
A4GNT,0.0038102131602322092
AA06,0.0
AAAS,0.192472393691677
AACS,0.6776222709919333
AACSP1,1.4441877415224502
AADAC,-0.9630027592565881
AADACL2,-0.02397672843940729
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADACP1,-0.13013043864934037
AADAT,-0.01626393882437016
AAGAB,-1.4404743396326207
AAK1,0.3673479383540972
AAMDC,-1.2769049439583018
AAMP,-0.36698555109105424
AANAT,-2.604222594142454
AAR2,0.16954132439657332
AARD,1.284933878619237
AARS1,0.5857313876747581
AARS1P1,0.0
AARS2,0.658682381502329
AARSD1,0.8884225607926983
AARSD1P1,0.7904492178250777
AASDH,0.5981210139777438
AASDHPPT,0.41065850616199295
AASDHPPT-AS1,0.004010930887184724
AASS,0.6045746721447882
AATBC,0.9804805781134178
AATF,0.08753882303085003
AATK,-0.651564130370097
ABALON,0.05938525359916625
ABAT,1.0604198465620875
ABCA1,-0.9544765497108965
ABCA10,0.21495125129042691
ABCA11P,0.01748347793747096
ABCA12,0.06394159860152987
ABCA13,-0.02804804767813074
ABCA15P,0.013302747569317958
ABCA17P,0.34571721329602556
ABCA2,-0.6604858634593853
ABCA3,0.011788411651297181
ABCA3P1,-0.04605050915265615
ABCA4,0.701078910983907
ABCA5,-0.7228770540785092
ABCA6,0.1513064678058776
ABCA7,-0.7463742081308573
ABCA8,-4.872134557384514
ABCA9,0.010706913242982508
ABCA9-AS1,-0.05265345173764341
ABCB1,0.15295899108405853
ABCB10,0.45470552062943437
ABCB10P1,0.09187771813140966
ABCB10P3,0.10312350343821625
ABCB10P4,0.08973033405455547
ABCB11,0.187205259779169
ABCB4,1.4190969590624392
ABCB5,0.3787760577539506
ABCB6,-0.39003839897563575
ABCB7,-0.3775054372094533
ABCB8,-0.19050260304090205
ABCB9,0.9555906779566348
ABCC1,0.12054668726157258
ABCC10,0.7137972641558927
ABCC11,-0.17107098164307524
ABCC12,-0.026328035883382866
ABCC13,-0.012198513189012616
ABCC2,0.18127114950772596
ABCC3,-2.4579007396640855
ABCC4,-0.16719910517347003
ABCC5,0.5038555065908241
ABCC5-AS1,0.04989218398317326
ABCC6,-1.5805219783634068
ABCC6P1,-1.683686420797364
ABCC6P2,-1.3736292690201637
ABCC8,-0.8013035167147642
ABCC9,-1.6177992790629334
ABCD1,-1.131853344034032
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.0
ABCD1P5,-0.011047519485078535
ABCD2,-0.7167918791982482
ABCD3,0.33346112061443467
ABCD4,-0.2408823019435138
ABCE1,0.7870016769923387
ABCE1P1,0.0
ABCF1,0.46937251238151756
ABCF2,0.19766910960032824
ABCF2-H2BK1,0.0
ABCF2P1,-0.0472623217495531
ABCF2P2,0.0
ABCF3,-0.3894193226441711
ABCG1,-1.5698970582727183
ABCG2,-0.08475351331613815
ABCG4,0.10414384953958189
ABCG5,-0.08997280227315074
ABCG8,-0.029971612157735417
ABHD1,-0.5504149597765562
ABHD10,0.39410558514049665
ABHD11,-1.214501085403831
ABHD12,-0.597050275077887
ABHD12B,-0.17976377872641347
ABHD13,0.0797613516228397
