,log2FC
5S_rRNA,0.051326444838020874
7SK,-0.23782789190848447
A1BG,0.7609199323761175
A1BG-AS1,-0.09177223146185876
A1CF,0.09225774521142271
A2M,-1.5298658546831494
A2M-AS1,-1.3998955332534218
A2ML1,0.2029092451334026
A2ML1-AS1,0.0
A2ML1-AS2,0.04738547355847599
A2MP1,-0.005501590475728235
A3GALT2,0.0006660076066226928
A4GALT,-1.0619573349074547
A4GNT,0.024703940559153106
AA06,0.023849202121407835
AAAS,0.3486484407617514
AACS,0.47521198379835194
AACSP1,1.0243954474779335
AADAC,-1.1979948221696621
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADACP1,-0.09425701256085982
AADAT,0.30383653918197684
AAGAB,-0.7848971479213249
AAK1,-0.2236544475807527
AAMDC,-1.2559867481047675
AAMP,-0.15065416550354893
AANAT,-2.2063251410755154
AAR2,0.2837880363404892
AARD,0.5611444291215548
AARS1,0.21020485812283596
AARS1P1,0.0
AARS2,0.28095883818865897
AARSD1,0.45852954974168636
AARSD1P1,0.3521595381285632
AASDH,0.20909855774721198
AASDHPPT,0.35038120275173856
AASDHPPT-AS1,-0.08253001807453877
AASS,1.0058337712403778
AATBC,0.3353164921711722
AATF,0.2975237337048853
AATK,-0.5476794472537176
ABALON,0.06207598851441422
ABAT,1.071224265463858
ABCA1,-0.5118015149392239
ABCA10,0.034383534411107974
ABCA11P,-0.06644999744605296
ABCA12,-0.01693109146659766
ABCA13,-0.4751141503883545
ABCA15P,-0.14517419590395209
ABCA17P,0.01021380560859897
ABCA2,-0.661933332605487
ABCA3,-0.0673943785557789
ABCA3P1,0.013141263832756378
ABCA4,0.5178058012191034
ABCA5,-0.938669262513864
ABCA6,0.043693661660303834
ABCA7,-0.9377627039082168
ABCA8,-3.3989054660491558
ABCA9,-0.03320367544161189
ABCA9-AS1,0.035125127721208564
ABCB1,0.04502951945080058
ABCB10,0.13998678653814967
ABCB10P1,0.10898126848607652
ABCB10P3,0.10810967747720351
ABCB10P4,0.06250198192156772
ABCB11,0.15410139449749866
ABCB4,1.204111079420343
ABCB5,0.3408494504728733
ABCB6,-0.22256683961901602
ABCB7,-0.08462197330757348
ABCB8,0.07509112237762139
ABCB9,0.6022130795878708
ABCC1,-0.4663477745611333
ABCC10,0.5105306074351206
ABCC11,0.10462288136004638
ABCC12,0.014116302002643952
ABCC13,0.013141263832756378
ABCC2,0.09033650080070044
ABCC3,-2.0554049251240594
ABCC4,-0.09222876487480125
ABCC5,0.39308009356531315
ABCC5-AS1,-0.04028547623601833
ABCC6,-1.2621453000194847
ABCC6P1,-1.1438628602827117
ABCC6P2,-1.2175317035706201
ABCC8,-0.9535288151550576
ABCC9,-1.0494992557661107
ABCD1,-0.964471022913137
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.0
ABCD1P5,0.0
ABCD2,-0.30959716987673724
ABCD3,0.5100296009981378
ABCD4,0.045051370292686244
ABCE1,0.6718228775110928
ABCE1P1,0.01217093803286478
ABCF1,0.2551847654114763
ABCF2,-0.0631539216346293
ABCF2-H2BK1,0.0
ABCF2P1,0.0
ABCF2P2,0.013222787365570041
ABCF3,-0.2130718008877377
ABCG1,-0.8730067631593728
ABCG2,-0.0013740159701324112
ABCG4,0.05483041619025997
ABCG5,0.05315752058967321
ABCG8,0.023267522207459118
ABHD1,-0.3575286340880761
ABHD10,0.35364235322572757
ABHD11,-0.9901207421776208
ABHD12,-0.0972936986972135
ABHD12B,-0.5227452230125506
ABHD13,0.1215453279102583
ABHD14A,-1.3739413235797784
ABHD14A-ACY1,-0.13106262089012577
ABHD14B,-1.935680335005248
ABHD15,-1.3527422872044181
ABHD15-AS1,-0.1048322570335945
ABHD16A,-0.11033261877007994
ABHD16B,0.0
ABHD17A,0.1400967106533093
ABHD17AP1,0.18886642017322253
ABHD17AP3,0.22066141909902576
ABHD17AP4,0.005446157725707723
ABHD17AP5,0.0900934122981725
ABHD17AP6,0.15267817982614407
ABHD17AP7,0.0
ABHD17AP8,0.0
ABHD17AP9,0.0
ABHD17B,0.3891430413392216
ABHD17C,0.7070444505352933
ABHD18,0.5277540031704233
ABHD2,-0.4469617015885161
ABHD3,0.8288483360316281
ABHD4,0.3462012808856585
ABHD5,-0.07261939523336203
