,log2FC_spectral
HNRNPH1,-0.6707507361969224
MRPL17,-1.1219905243786104
FBLL1,-0.575114714764809
A0A140T9X3,2.0
UGGT2,-0.9068905956085186
B4E171,1.0
J3QKZ0,1.584962500721156
MAOB,0.19264507794239583
RABGAP1L,2.0
FLOT1,-0.5611157587667883
SEZ6L2,0.14809863898913392
STAU2,-4.643856189774724
F8WDX9,2.807354922057604
TBL3,0.5849625007211562
PRKCA,-1.4033556942312084
DDX19A,-1.2667865406949013
ACAA2,-1.051530300640082
NUDCD2,-1.3536369546147005
VKORC1,-0.1443899093351748
FAH,-1.0174874267288412
A0A3B3IS24,-0.03476541816067664
PLA2G6,-3.9068905956085187
ALG1L2,-1.3667823306716227
RILPL1,-3.4594316186372973
PAFAH1B3,-0.7827992896037491
PBRM1,5.321928094887363
PSMB7,-1.2823997307007249
G3BP1,-0.3098552625867873
TLK2,0.4005379295837288
HARS1,-0.2568845629814825
KHDRBS1,-0.4365172266892954
LSM3,-0.5849625007211563
STMN2,-0.8930847960834881
EIF5,-1.2547191376217903
LINGO1,-2.321928094887362
KPNA6,-0.6668736985077736
AFG2B,-4.0
DHX9,-0.7074011366240678
DHPS,-3.0
CRAT,-0.22948184612276734
PGP,-0.3219280948873623
ARMCX3,0.0
IFT56,2.0
MRPL50,-0.6780719051126377
FTSJ3,-3.1699250014423126
UMPS,-2.230297619421794
KRT17,-0.6481563272083503
CDK9,-1.3504972470841332
CCDC124,0.2630344058337938
COMMD8,-1.15754127698648
A0A0U1RR32,-0.7951802081115018
ATP6V1B2,-0.8130966633821768
ASNS,-2.5324950808270206
EI24,-1.2801079191927354
DGKE,-0.6166713604484944
FAHD2A,-1.3785116232537298
ALAT1,-1.5849625007211563
NAA15,-1.6805401607033872
PDGFRA,-0.4594316186372972
LDHAL6A,-0.6629650127224294
GDAP1,-0.014768600276231421
CBX3,-0.2563397532597855
ERH,0.0
RHOB,-0.20511442990461237
ATP6V1H,-0.7384369813828743
PRKAB2,-0.2630344058337938
CDK2AP1,1.584962500721156
IVNS1ABP,-1.0
GLYLB,2.0
AP1G1,0.21978120787990993
A0A2R8YDR3,-1.5849625007211563
CAMSAP3,-0.19264507794239588
ARAP1,4.0
RPS6KA5,0.32192809488736235
PXK,5.321928094887363
PIGK,-0.3297054454790817
RGS12,2.321928094887362
H7C058,0.289506617194985
RNMT,-1.1460782594879446
UCKL1,-0.6780719051126377
KBTBD11,-0.751179453385907
MYO1B,-0.3416913497087923
EPHA7,-1.390459476558178
WNK3,0.28379296600059134
K7EIS7,0.0
FXR2,-0.15335077690679652
ANXA10,-0.7369655941662062
MDH1,-0.6594631869207876
PTK7,-0.6457165318002526
PDXP,-0.608809242675524
SLC35F6,-1.5849625007211563
SUOX,1.0
GNAT2,-0.6418083611258661
ENOPH1,-0.7641870629012306
AFG2A,-1.0544477840223765
RT24,-0.765534746362977
GPD1L,-0.6943737174417383
DYRK1A,0.25525705524207465
SMARCA1,-0.4625264250601629
SRBD1,-0.8930847960834881
IER3IP1,1.584962500721156
MRPS28,0.21412480535284734
HMGN4,-3.0
SPARCL1,0.12928301694496647
ALDH2,-0.3474130664420834
POLR1C,-3.1404812235498305
TLE2,-1.415037499278844
EPN3,0.03847414781463564
CPNE4,3.321928094887362
CCDC127,-2.321928094887362
COQ5,-3.584962500721156
SLC25A4,-0.3247541389661258
GAR1,-0.9328858041414629
PIAS2,3.584962500721156
SPRYD7,-1.222392421336448
SYNRG,-1.137503523749935
SGTA,-0.5889811524585491
CNTN1,-0.337869638756384
CPVL,-0.6578940231750072
E7ETP7,-1.0
K7EIK2,-1.0
A0A0D9SFF6,-2.584962500721156
ZER1,-2.0
WARS1,-1.0610294333975596
ASH2L,0.8479969065549501
MTDH,-0.4150374992788438
ASS1,-3.700439718141092
IGFBP2,0.3479233034203068
DPYSL5,-0.5508252972627157
