task,metric,domain,inf_early_1_6,inf_late_7_12,post_flight,pre_flight,early_to_late_change,pre_to_early_inf_change
AM,speed,reasoning,1.8,1.2,-0.4,0.4,-0.6000000000000001,1.4
BART,speed,risk,0.2,-0.6,-2.5,-0.6,-0.8,0.8
DSST,speed,processing,-0.4,-0.2,-0.9,-2.0,0.2,1.6
ERT,speed,social,0.9,-0.9,-2.3,-1.8,-1.8,2.7
F2B,speed,working_memory,0.4,-0.1,-0.2,-0.3,-0.5,0.7
LOT,speed,spatial,0.0,0.0,-1.5,-0.5,0.0,0.5
MP,speed,motor,-0.2,-0.3,-2.3,-1.5,-0.09999999999999998,1.3
MRT,speed,reasoning,1.0,0.8,-0.1,0.3,-0.19999999999999996,0.7
PVT,speed,attention,0.1,-0.1,-1.1,-1.2,-0.2,1.3
VOLT,speed,memory,0.3,0.9,0.3,0.1,0.6000000000000001,0.19999999999999998
