Group,Gene,log2FC
NoMicroglia,MBP,-1.6798061636163015
NoMicroglia,MOG,0.17226925980607527
NoMicroglia,PLP1,-0.0984290766793734
NoMicroglia,MAG,0.030452722469498313
NoMicroglia,CNP,0.10112471557256608
NoMicroglia,MOBP,0.10773796894389497
NoMicroglia,ERMN,-1.1998623134956232
NoMicroglia,SCN1A,2.1121641487436604
NoMicroglia,KCNQ2,0.8035628290297634
NoMicroglia,ANK3,0.9560735748783555
NoMicroglia,NEFH,-1.040518604734054
NoMicroglia,NEFM,1.7471329571269667
NoMicroglia,NEFL,0.4344164280681868
NoMicroglia,SNCG,-1.6750623815013586
NoMicroglia,OXTR,-2.138767461881973
NoMicroglia,AVPR1A,0.030776324685108936
NoMicroglia,HTR2A,0.2580151005671656
NoMicroglia,DRD1,0.6542697732253437
NoMicroglia,CHRM1,2.260395383204846
NoMicroglia,GABRB2,1.573458706862894
NoMicroglia,FEZF2,0.7155843892543792
NoMicroglia,BCL11B,4.486729266366337
NoMicroglia,TBR1,2.897447430439801
NoMicroglia,SATB2,-0.4084075813986725
NoMicroglia,CUX1,0.09956622074848287
NoMicroglia,VDAC1,0.11792138657253393
NoMicroglia,ATP2B2,1.111696735991572
NoMicroglia,SLC17A7,1.9460184139590457
NoMicroglia,SNAP25,0.3843890438685085
NoMicroglia,SYP,0.19583543152949012
NoMicroglia,NRXN1,0.972129940793347
NoMicroglia,NOS1,0.9634440305463896
NoMicroglia,TH,-2.382107298426914
NoMicroglia,SLC6A3,0.26329582365531634
WithMicroglia,MBP,-0.28811350918054135
WithMicroglia,MOG,0.1300438714724847
WithMicroglia,PLP1,0.963547669212296
WithMicroglia,MAG,-0.00972071876762271
WithMicroglia,CNP,0.2764915099597278
WithMicroglia,MOBP,0.20561547000235425
WithMicroglia,ERMN,-0.9216810613278057
WithMicroglia,SCN1A,0.395589275337876
WithMicroglia,KCNQ2,0.23582796040503062
WithMicroglia,ANK3,-0.1346996072545359
WithMicroglia,NEFH,0.21012484574906898
WithMicroglia,NEFM,0.46196954851667993
WithMicroglia,NEFL,-0.38900500735391574
WithMicroglia,SNCG,-0.9201369147153917
WithMicroglia,OXTR,-0.7608591266044291
WithMicroglia,AVPR1A,-0.014737996327082503
WithMicroglia,HTR2A,0.021833087682528785
WithMicroglia,DRD1,0.05497713400348431
WithMicroglia,CHRM1,0.9605559877807665
WithMicroglia,GABRB2,-0.20695379058828234
WithMicroglia,FEZF2,0.9543214407256291
WithMicroglia,BCL11B,2.0224268347762537
WithMicroglia,TBR1,2.9806781600652266
WithMicroglia,SATB2,-0.2775646875310569
WithMicroglia,CUX1,-0.00552160105456867
WithMicroglia,VDAC1,0.018667468809736576
WithMicroglia,ATP2B2,-0.04233554451440824
WithMicroglia,SLC17A7,2.2833456197728665
WithMicroglia,SNAP25,0.46306487560412446
WithMicroglia,SYP,-0.10345958034434766
WithMicroglia,NRXN1,0.3100587156336694
WithMicroglia,NOS1,0.496092554391842
WithMicroglia,TH,-1.7230237328172278
WithMicroglia,SLC6A3,0.5026831477740786
Combined,MBP,-1.1383427754643303
Combined,MOG,0.16489406168348714
Combined,PLP1,0.2649088711182608
Combined,MAG,0.015837781803673248
Combined,CNP,0.17852091471777243
Combined,MOBP,0.15251666248386303
Combined,ERMN,-1.111782039910299
Combined,SCN1A,1.455953483535002
Combined,KCNQ2,0.5687356108392763
Combined,ANK3,0.502793606845251
Combined,NEFH,-0.5162948710096575
Combined,NEFM,1.2612583415763359
Combined,NEFL,0.1263302915210689
Combined,SNCG,-1.4228264778544282
Combined,OXTR,-1.5809214452214326
Combined,AVPR1A,0.017629042599220657
Combined,HTR2A,0.15605977039402674
Combined,DRD1,0.443146852621342
Combined,CHRM1,1.7866404490340504
Combined,GABRB2,0.932877494197839
Combined,FEZF2,0.7967148701663689
Combined,BCL11B,3.5708270599312018
Combined,TBR1,2.942233947369385
Combined,SATB2,-0.3691582672591325
Combined,CUX1,0.06288614897737954
Combined,VDAC1,0.09808581980813624
Combined,ATP2B2,0.6777312216417921
Combined,SLC17A7,2.127910177478487
Combined,SNAP25,0.4213494667439024
Combined,SYP,0.08590244188691187
Combined,NRXN1,0.7024907505035918
Combined,NOS1,0.7808256494957069
Combined,TH,-2.150721740019109
Combined,SLC6A3,0.3701238203899224
