Gene,Combined,NoMicroglia,WithMicroglia
ANK3,0.503,0.956,-0.135
ATP2B2,0.678,1.112,-0.042
AVPR1A,0.018,0.031,-0.015
BCL11B,3.571,4.487,2.022
CHRM1,1.787,2.26,0.961
CNP,0.179,0.101,0.276
CUX1,0.063,0.1,-0.006
DRD1,0.443,0.654,0.055
ERMN,-1.112,-1.2,-0.922
FEZF2,0.797,0.716,0.954
GABRB2,0.933,1.573,-0.207
HTR2A,0.156,0.258,0.022
KCNQ2,0.569,0.804,0.236
MAG,0.016,0.03,-0.01
MBP,-1.138,-1.68,-0.288
MOBP,0.153,0.108,0.206
MOG,0.165,0.172,0.13
NEFH,-0.516,-1.041,0.21
NEFL,0.126,0.434,-0.389
NEFM,1.261,1.747,0.462
NOS1,0.781,0.963,0.496
NRXN1,0.702,0.972,0.31
OXTR,-1.581,-2.139,-0.761
PLP1,0.265,-0.098,0.964
SATB2,-0.369,-0.408,-0.278
SCN1A,1.456,2.112,0.396
SLC17A7,2.128,1.946,2.283
SLC6A3,0.37,0.263,0.503
SNAP25,0.421,0.384,0.463
SNCG,-1.423,-1.675,-0.92
SYP,0.086,0.196,-0.103
TBR1,2.942,2.897,2.981
TH,-2.151,-2.382,-1.723
VDAC1,0.098,0.118,0.019
