gene,category,log2fc,pvalue,dataset
MBP,myelination,0.530851178,0.173589963,GSE239336_ISS
MOG,myelination,0.29356262,0.286907996,GSE239336_ISS
PLP1,myelination,0.064447853,0.719033029,GSE239336_ISS
MAG,myelination,0.545433055,0.158232088,GSE239336_ISS
CNP,myelination,0.617997216,0.010956086,GSE239336_ISS
MOBP,myelination,0.789970945,0.170074175,GSE239336_ISS
ERMN,myelination,-0.17521695,0.00310674,GSE239336_ISS
SCN1A,fast_signalling,0.450857653,0.194504341,GSE239336_ISS
KCNQ2,fast_signalling,-0.164744128,0.590638408,GSE239336_ISS
ANK3,fast_signalling,0.074166252,0.689774749,GSE239336_ISS
NEFH,fast_signalling,0.328146866,0.270876793,GSE239336_ISS
NEFM,fast_signalling,-0.459820515,0.457256188,GSE239336_ISS
NEFL,fast_signalling,-0.230702192,0.355731295,GSE239336_ISS
OXTR,social_circuit,0.033885746,0.832001985,GSE239336_ISS
HTR2A,social_circuit,0.416851694,0.368656785,GSE239336_ISS
DRD1,social_circuit,0.357830541,0.264233582,GSE239336_ISS
CHRM1,social_circuit,0.100988027,0.52978463,GSE239336_ISS
GABRB2,social_circuit,0.223512937,0.144358377,GSE239336_ISS
FEZF2,layer5_proj,-0.048250436,0.802947889,GSE239336_ISS
BCL11B,layer5_proj,-0.136991242,0.487479579,GSE239336_ISS
TBR1,layer5_proj,-0.078499139,0.278323055,GSE239336_ISS
SATB2,layer5_proj,-0.176397533,0.331827755,GSE239336_ISS
CUX1,layer5_proj,0.081947787,0.703330883,GSE239336_ISS
VDAC1,metabolic,0.379402382,0.094128698,GSE239336_ISS
ATP2B2,metabolic,-0.118765564,0.592591191,GSE239336_ISS
SLC17A7,metabolic,0.157080065,0.520909577,GSE239336_ISS
SNAP25,metabolic,0.422301838,0.043844121,GSE239336_ISS
SYP,metabolic,0.379810706,0.067634969,GSE239336_ISS
NRXN1,metabolic,0.043905245,0.875148947,GSE239336_ISS
