Gene,Combined,NoMicroglia,WithMicroglia
ANK3,0.223,0.353,0.102
ATP2B2,0.527,0.704,0.347
AVPR1A,-0.087,-0.112,-0.051
BCL11B,4.123,4.497,3.729
CHRM1,2.481,2.935,2.069
CNP,0.145,-0.01,0.299
CUX1,-0.097,-0.268,0.069
DRD1,0.248,0.533,0.037
ERMN,-1.596,-1.765,-1.435
FEZF2,0.463,0.448,0.425
GABRB2,0.952,1.176,0.739
HTR2A,-0.151,-0.437,0.099
KCNQ2,0.535,0.433,0.62
MAG,-0.011,0.0,-0.024
MBP,-0.941,-0.621,-1.204
MOBP,-0.043,-0.076,-0.014
MOG,0.108,0.26,-0.023
NEFH,0.046,0.172,-0.062
NEFL,-0.113,-0.145,-0.032
NEFM,0.955,1.2,0.741
NOS1,0.541,0.886,0.234
NRXN1,0.878,1.102,0.646
OXTR,-1.589,-1.741,-1.444
PLP1,-0.852,-1.021,-0.702
SATB2,-0.266,-0.49,-0.039
SCN1A,0.929,1.196,0.69
SLC17A7,2.126,2.825,1.453
SNAP25,0.513,0.617,0.44
SNCG,-1.763,-1.571,-1.931
SYP,0.213,0.319,0.135
TBR1,2.515,2.929,2.061
VDAC1,0.127,0.118,0.16
