task,metric,domain,inf_early_1_6,inf_late_7_12,post_flight,pre_flight,early_to_late_change
ALL,accuracy,composite,-0.3,-0.4,-1.1,-0.2,-0.10000000000000003
ALL,speed,composite,0.4,-0.1,-1.1,-0.7,-0.5
AM,accuracy,reasoning,-0.7,-2.9,-3.1,0.9,-2.2
AM,speed,reasoning,1.8,1.2,-0.4,0.4,-0.6000000000000001
BART,accuracy,risk,1.4,1.1,0.7,0.9,-0.2999999999999998
BART,speed,risk,0.2,-0.6,-2.5,-0.6,-0.8
DSST,accuracy,processing,0.0,1.1,0.8,0.2,1.1
DSST,speed,processing,-0.4,-0.2,-0.9,-2.0,0.2
EFF,accuracy,efficiency,0.0,-0.3,-1.1,-0.4,-0.3
ERT,accuracy,social,-0.9,-0.1,-0.2,0.0,0.8
ERT,speed,social,0.9,-0.9,-2.3,-1.8,-1.8
F2B,accuracy,working_memory,0.3,-0.7,-1.2,-0.7,-1.0
F2B,speed,working_memory,0.4,-0.1,-0.2,-0.3,-0.5
LOT,accuracy,spatial,0.2,0.7,0.4,-0.9,0.49999999999999994
LOT,speed,spatial,0.0,0.0,-1.5,-0.5,0.0
MP,accuracy,motor,0.9,0.9,0.0,-0.9,0.0
MP,speed,motor,-0.2,-0.3,-2.3,-1.5,-0.09999999999999998
MRT,accuracy,reasoning,-0.4,0.1,-0.8,-0.2,0.5
MRT,speed,reasoning,1.0,0.8,-0.1,0.3,-0.19999999999999996
PVT,accuracy,attention,-0.3,-0.2,-2.6,0.0,0.09999999999999998
PVT,speed,attention,0.1,-0.1,-1.1,-1.2,-0.2
VOLT,accuracy,memory,-1.4,-1.3,-2.3,0.0,0.09999999999999987
VOLT,speed,memory,0.3,0.9,0.3,0.1,0.6000000000000001
